owner,repo_name,url,state,stars,label1,label2,label3,label4
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/74,MERGED,29,refactor,test,,
liam-hq,liam,https://github.com/liam-hq/liam/pull/1418,MERGED,4042,feat,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/137,MERGED,29,build,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/271,MERGED,646,feat,docs,test,
coder,coder,https://github.com/coder/coder/pull/17164,MERGED,9997,docs,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/115,MERGED,77,feat,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/143,MERGED,29,fix,docs,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/104,MERGED,16,feat,,,
ditto-assistant,ditto-app,https://github.com/ditto-assistant/ditto-app/pull/422,MERGED,30,fix,perf,docs,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/104,MERGED,77,perf,,,
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/91,MERGED,990,fix,feat,,
cpunion,axum-params,https://github.com/cpunion/axum-params/pull/27,MERGED,12,ci,,,
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/70,MERGED,990,docs,,,
doobidoo,mcp-memory-service,https://github.com/doobidoo/mcp-memory-service/pull/8,MERGED,353,fix,docs,chore,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/501,MERGED,126,docs,,,
Shopify,app_profiler,https://github.com/Shopify/app_profiler/pull/166,MERGED,247,feat,refactor,test,
basicmachines-co,basic-memory,https://github.com/basicmachines-co/basic-memory/pull/88,MERGED,811,fix,test,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/89,MERGED,868,feat,fix,,
artsy,eigen,https://github.com/artsy/eigen/pull/11709,MERGED,3667,feat,,,
geneontology,go-ontology,https://github.com/geneontology/go-ontology/pull/30207,MERGED,234,fix,,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1726,MERGED,250,refactor,,,
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/43,MERGED,36,ci,,,
