owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
mattermost,mattermost,29506,https://github.com/mattermost/mattermost/pull/29506,MERGED,2,1,9,10,0,0,30,5,35,2
mattermost,mattermost,30060,https://github.com/mattermost/mattermost/pull/30060,MERGED,5,260,89,349,5,0,43,21,64,1
mattermost,mattermost,30295,https://github.com/mattermost/mattermost/pull/30295,MERGED,3,3923,1928,5851,159,0,136,112,248,11
mattermost,mattermost,30672,https://github.com/mattermost/mattermost/pull/30672,MERGED,5,600,557,1157,34,0,186,1,187,3
mattermost,mattermost,30789,https://github.com/mattermost/mattermost/pull/30789,MERGED,3,126,23,149,5,0,0,0,0,0
mattermost,mattermost-mobile,8795,https://github.com/mattermost/mattermost-mobile/pull/8795,MERGED,2,36,5,41,2,2,0,0,0,0
mattgodbolt,specbolt,15,https://github.com/mattgodbolt/specbolt/pull/15,MERGED,11,219,224,443,8,0,1274,76,1350,11
mc-bench,mc-bench-backend,5,https://github.com/mc-bench/mc-bench-backend/pull/5,MERGED,2,2642,107,2749,56,0,0,0,0,0
mc-bench,mc-bench-backend,121,https://github.com/mc-bench/mc-bench-backend/pull/121,MERGED,2,668,40,708,5,0,0,0,0,0
mc-bench,mc-bench-frontend,2,https://github.com/mc-bench/mc-bench-frontend/pull/2,MERGED,2,61,2,63,11,0,1286,25,1311,22
modelcontextprotocol,python-sdk,206,https://github.com/modelcontextprotocol/python-sdk/pull/206,MERGED,5,113,56,169,5,0,0,0,0,0
modelcontextprotocol,python-sdk,515,https://github.com/modelcontextprotocol/python-sdk/pull/515,MERGED,2,12,13,25,0,0,113,42,155,4
monarch-initiative,aurelian,5,https://github.com/monarch-initiative/aurelian/pull/5,MERGED,2,101,72,173,1,0,2602,226,2828,8
monarch-initiative,aurelian,8,https://github.com/monarch-initiative/aurelian/pull/8,MERGED,7,24,12,36,0,0,62,1,63,1
monarch-initiative,aurelian,17,https://github.com/monarch-initiative/aurelian/pull/17,MERGED,8,2775,248,3023,29,4,7898,2721,10619,117
natolambert,rlhf-book,19,https://github.com/natolambert/rlhf-book/pull/19,MERGED,3,268,59,327,2,0,32,5,37,4
natolambert,rlhf-book,34,https://github.com/natolambert/rlhf-book/pull/34,MERGED,1,2,5,7,0,0,125,4,129,3
natolambert,rlhf-book,50,https://github.com/natolambert/rlhf-book/pull/50,MERGED,2,98,8,106,3,0,11,5,16,2
natolambert,rlhf-book,99,https://github.com/natolambert/rlhf-book/pull/99,MERGED,2,228,8,236,1,0,35,3,38,5
nerfstudio-project,viser,214,https://github.com/nerfstudio-project/viser/pull/214,MERGED,11,1360,1477,2837,72,0,0,0,0,0
nerfstudio-project,viser,228,https://github.com/nerfstudio-project/viser/pull/228,MERGED,3,93,87,180,3,0,10,21,31,2
nerfstudio-project,viser,251,https://github.com/nerfstudio-project/viser/pull/251,MERGED,1,0,1,1,0,0,207,62,269,1
nerfstudio-project,viser,290,https://github.com/nerfstudio-project/viser/pull/290,MERGED,1,4,1,5,0,0,143,60,203,8
nerfstudio-project,viser,356,https://github.com/nerfstudio-project/viser/pull/356,MERGED,1,1,1,2,0,0,142,7,149,7
nerfstudio-project,viser,377,https://github.com/nerfstudio-project/viser/pull/377,MERGED,1,1,1,2,1,0,70,30,100,5
obophenotype,uberon,3507,https://github.com/obophenotype/uberon/pull/3507,MERGED,4,14,3,17,1,0,0,0,0,0
openvm-org,openvm,936,https://github.com/openvm-org/openvm/pull/936,MERGED,1,10,10,20,5,0,7,2,9,1
oven-sh,bun,17779,https://github.com/oven-sh/bun/pull/17779,MERGED,1,1,1,2,0,0,74,1,75,2
poap-xyz,poap.js,136,https://github.com/poap-xyz/poap.js/pull/136,MERGED,1,5,5,10,0,0,17,16,33,3
portone-io,developers.portone.io,814,https://github.com/portone-io/developers.portone.io/pull/814,MERGED,2,200,190,390,28,0,0,0,0,0
potpie-ai,potpie-ui,129,https://github.com/potpie-ai/potpie-ui/pull/129,MERGED,1,8,10,18,0,0,214,210,424,3
pozar87,apts,8,https://github.com/pozar87/apts/pull/8,MERGED,2,3,2,5,0,0,39,0,39,1
pozar87,apts,10,https://github.com/pozar87/apts/pull/10,MERGED,1,208,212,420,2,0,1967,2121,4088,13
prescient-design,cortex,19,https://github.com/prescient-design/cortex/pull/19,MERGED,4,751,3,754,4,0,985,32,1017,11
